id,name,scientific name,type,parent species id,family,group,authority,rarity,status,obscurity,link
289,Lannervalk,Falco biarmicus,soort,,Falconidae (Caracara's en Valken),Vogels,"Temminck, CJ, 1825",zeer zeldzaam,inheems,,https://waarneming.nl/species/289/
973,Laplanduil,Strix nebulosa,soort,,Strigidae (Uilen),Vogels,"Forster, JR, 1772",vrij algemeen,exoot,,https://waarneming.nl/species/973/
20588,Laysaneend,Anas laysanensis,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"Rothschild, LW, 1892",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/20588/
79078,Lazuligors,Passerina amoena,soort,,Cardinalidae (Kardinalen),Vogels,"(Say, T, 1822)",vrij algemeen,exoot,,https://waarneming.nl/species/79078/
643314,Leeuwerik onbekend,Alaudidae indet.,verzamelsoort,,Alaudidae (Leeuweriken),Vogels,,algemeen,inheems,,https://waarneming.nl/species/643314/
8,Lepelaar,Platalea leucorodia,soort,,Threskiornithidae (Ibissen en Lepelaars),Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/8/
240784,Lepelaar onbekend,Platalea spec.,verzamelsoort,,Threskiornithidae (Ibissen en Lepelaars),Vogels,"Linnaeus, C, 1758",algemeen,onvoldoende gegevens,,https://waarneming.nl/species/240784/
180362,Lepelaar ssp leucorodia,Platalea leucorodia leucorodia,ondersoort,8,Threskiornithidae (Ibissen en Lepelaars),Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/180362/
70505,Lepelbekeend,Malacorhynchus membranaceus,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Latham, J, 1801)",vrij algemeen,exoot,,https://waarneming.nl/species/70505/
26965,Lijster onbekend,Turdidae indet.,verzamelsoort,,Turdidae (Lijsters),Vogels,,algemeen,inheems,,https://waarneming.nl/species/26965/
72092,Livingstones Toerako,Tauraco livingstonii,soort,,Musophagidae (Toerako's),Vogels,"Gray, GR, 1864",vrij algemeen,exoot,,https://waarneming.nl/species/72092/
19111,Loodbekje,Euodice malabarica,soort,,Estrildidae (Prachtvinken),Vogels,"(Linnaeus, C, 1758)",algemeen,exoot,,https://waarneming.nl/species/19111/
2266,Lord Derby's Parkiet,Psittacula derbiana,soort,,Psittaculidae (Parkieten),Vogels,"(Fraser, L, 1852)",vrij algemeen,exoot,,https://waarneming.nl/species/2266/
71340,Lori van de Blauwe Bergen,Trichoglossus moluccanus,soort,,Psittaculidae (Parkieten),Vogels,"(Gmelin, JF, 1788)",vrij algemeen,exoot,,https://waarneming.nl/species/71340/
78068,Madagaskarwever,Foudia madagascariensis,soort,,Ploceidae (Wevers),Vogels,"(Linnaeus, C, 1766)",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/78068/
71750,Madeiragierzwaluw,Apus unicolor,soort,,Apodidae (Gierzwaluwen),Vogels,"(Jardine, W, 1830)",zeer zeldzaam,inheems,,https://waarneming.nl/species/71750/
2314,Magelhaengans,Chloephaga picta,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Gmelin, JF, 1789)",algemeen,exoot,,https://waarneming.nl/species/2314/
243706,Maleise Gekuifde Vuurrugfazant,Lophura rufa,soort,,"Phasianidae (Kwartels, Patrijzen en Fazanten)",Vogels,"(Raffles, TS, 1822)",algemeen,exoot,,https://waarneming.nl/species/243706/
147,Mandarijneend,Aix galericulata,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Linnaeus, C, 1758)",algemeen,exoot,,https://waarneming.nl/species/147/
76418,Mandarijnspreeuw,Sturnia sinensis,soort,,Sturnidae (Spreeuwen),Vogels,"(Gmelin, JF, 1788)",vrij algemeen,exoot,,https://waarneming.nl/species/76418/
1435,Manengans,Chenonetta jubata,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Latham, J, 1801)",algemeen,exoot,,https://waarneming.nl/species/1435/
782,Marmereend,Marmaronetta angustirostris,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Ménétries, É, 1832)",zeer zeldzaam,inheems,,https://waarneming.nl/species/782/
1037,Marokkaanse Kwikstaart,Motacilla alba subpersonata,ondersoort,202,Motacillidae (Piepers en Kwikstaarten),Vogels,"Meade-Waldo, EGB, 1901",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/1037/
9022,Maskerduif,Oena capensis,soort,,Columbidae (Duiven),Vogels,"(Linnaeus, C, 1766)",algemeen,exoot,,https://waarneming.nl/species/9022/
1317,Maskergors,Emberiza spodocephala,soort,,Emberizidae (Gorzen),Vogels,"Pallas, PS, 1776",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/1317/
26884,Maskerkievit,Vanellus miles,soort,,Charadriidae (Kieviten en Plevieren),Vogels,"(Boddaert, P, 1783)",vrij algemeen,exoot,,https://waarneming.nl/species/26884/
1223,Maskerklauwier,Lanius nubicus,soort,,Laniidae (Klauwieren),Vogels,"Lichtenstein, MHC, 1823",zeer zeldzaam,inheems,,https://waarneming.nl/species/1223/
148,Matkop,Poecile montanus,soort,,Paridae (Mezen),Vogels,"(Conrad von Baldenstein, T, 1827)",vrij algemeen,inheems,,https://waarneming.nl/species/148/
682506,Matkop of Glanskop onbekend,Poecile spec.,verzamelsoort,,Paridae (Mezen),Vogels,"Kaup, JJ, 1829",onbekend,inheems,,https://waarneming.nl/species/682506/
255378,Matkop ssp rhenanus,Poecile montanus rhenanus,ondersoort,148,Paridae (Mezen),Vogels,"(Kleinschmidt, O, 1900)",vrij algemeen,inheems,,https://waarneming.nl/species/255378/
1218919,Mediterrane Pijlstormvogel,Puffinus yelkouan,soort,,Procellariidae (Stormvogels en pijlstormvogels),Vogels,"(Acerbi, G, 1827)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1218919/
185730,Meenatortel,Streptopelia orientalis meena,ondersoort,72441,Columbidae (Duiven),Vogels,"(Sykes, WH, 1832)",zeer zeldzaam,inheems,,https://waarneming.nl/species/185730/
